,data,label,id,length
0,NsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfv,0,0,1000
1,tfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrt,0,1,1000
2,NNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtf,0,2,1000
3,fvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsu,0,3,1000
4,vsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtCEvN-vN-DCsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtCEECEDDKWPCEIzAvDEEEEEEE,0,4,769
5,rrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtCsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvs,0,5,1000
6,rrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsr,0,6,1000
7,tfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtN,0,7,1000
8,rrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsr,0,8,1000
9,tfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtCsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrr,0,9,1000
