,data,label,id
0,Nsrrtfv,0,0
1,srrtsuv,0,0
2,NNsrrtf,0,0
3,vsrrtfs,0,0
4,rrtNsrr,0,0
5,tfvsrrt,0,0
6,suvNNsr,0,0
7,rtfvsrr,0,0
8,tfsrrtN,0,0
9,srrtfvs,0,0
10,rrtsuvN,0,0
11,Nsrrtfv,0,0
12,srrtfsr,0,0
13,rtNsrrt,0,0
14,fvsrrts,0,0
15,uvNNsrr,0,0
16,tfvsrrt,0,0
17,fsrrtNs,0,0
18,rrtfvsr,0,0
19,rtsuvNN,0,0
20,srrtfvs,0,0
21,rrtfsrr,0,0
22,tNsrrtf,0,0
23,vsrrtsu,0,0
24,vNNsrrt,0,0
25,fvsrrtf,0,0
26,srrtNsr,0,0
27,rtfvsrr,0,0
28,tsuvNNs,0,0
29,rrtfvsr,0,0
30,rtfsrrt,0,0
31,Nsrrtfv,0,0
32,srrtsuv,0,0
33,NNsrrtf,0,0
34,vsrrtfs,0,0
35,rrtNsrr,0,0
36,tfvsrrt,0,0
37,suvNNsr,0,0
38,rtfvsrr,0,0
39,tfsrrtN,0,0
40,srrtfvs,0,0
41,rrtsuvN,0,0
42,Nsrrtfv,0,0
43,srrtfsr,0,0
44,rtNsrrt,0,0
45,fvsrrts,0,0
46,uvNNsrr,0,0
47,tfvsrrt,0,0
48,fsrrtNs,0,0
49,rrtfvsr,0,0
50,rtsuvNN,0,0
51,srrtfvs,0,0
52,rrtfsrr,0,0
53,tNsrrtf,0,0
54,vsrrtsu,0,0
55,vNNsrrt,0,0
56,fvsrrtf,0,0
57,srrtNsr,0,0
58,rtfvsrr,0,0
59,tsuvNNs,0,0
60,rrtfvsr,0,0
61,rtfBsrr,0,0
62,tNsrrtf,0,0
63,vsrrtsu,0,0
64,vNNsrrt,0,0
65,fvsrrtf,0,0
66,srrtNsr,0,0
67,rtfvsrr,0,0
68,tsuvNNs,0,0
69,rrtfvsr,0,0
70,rtfsrrt,0,0
71,Nsrrtfv,0,0
72,srrtsuv,0,0
73,NNsrrtf,0,0
74,vsrrtfs,0,0
75,rrtNsrr,0,0
76,tfvsrrt,0,0
77,suvNNsr,0,0
78,rtfvsrr,0,0
79,tfsrrtN,0,0
80,srrtfvs,0,0
81,rrtsuvN,0,0
82,Nsrrtfv,0,0
83,srrtfsr,0,0
84,rtNsrrt,0,0
85,fvsrrts,0,0
86,uvNNsrr,0,0
87,tfvsrrt,0,0
88,fsrrtNs,0,0
89,rrtfvsr,0,0
90,rtsuvNN,0,0
91,srrtfvs,0,0
92,rrtfsrr,0,0
93,tNsrrtf,0,0
94,vsrrtsu,0,0
95,vNNsrrt,0,0
96,fvsrrtf,0,0
97,srrtNsr,0,0
98,rtfvsrr,0,0
99,tsuvNNs,0,0
100,rrtfvsr,0,0
101,rtfsrrt,0,0
102,Nsrrtfv,0,0
103,srrtsuv,0,0
104,NNsrrtf,0,0
105,vsrrtfs,0,0
106,rrtNsrr,0,0
107,tfvsrrt,0,0
108,suvNNsr,0,0
109,rtfvsrr,0,0
110,tfsrrtN,0,0
111,srrtfvs,0,0
112,rrtsuvN,0,0
113,Nsrrtfv,0,0
114,srrtfsr,0,0
115,rtNsrrt,0,0
116,fvsrrts,0,0
117,uvNNsrr,0,0
118,tfvsrrt,0,0
119,fsrrtNs,0,0
120,rrtfvsr,0,0
121,rtsuvNN,0,0
122,srrtfvs,0,0
123,rrtfsrr,0,0
124,tNsrrtf,0,0
125,vsrrtsu,0,0
126,vNNsrrt,0,0
127,fvsrrtf,0,0
128,srrtNsr,0,0
129,rtfvsrr,0,0
130,tsuvNNs,0,0
131,rrtfvsr,0,0
132,rtfsrrt,0,0
133,Nsrrtfv,0,0
134,srrtsuv,0,0
135,NNsrrtf,0,0
136,vsrrtfs,0,0
137,rrtNsrr,0,0
138,tfvsrrt,0,0
139,suvNNsr,0,0
140,rtfvsrr,0,0
141,tfsrrtN,0,0
142,Nsrrtfv,0,0
143,tfvsrrt,0,1
144,suvNNsr,0,1
145,rtfvsrr,0,1
146,tfBsrrt,0,1
147,Nsrrtfv,0,1
148,srrtsuv,0,1
149,NNsrrtf,0,1
150,vsrrtfs,0,1
151,rrtNsrr,0,1
152,tfvsrrt,0,1
153,suvNNsr,0,1
154,rtfvsrr,0,1
155,tfsrrtN,0,1
156,srrtfvs,0,1
157,rrtsuvN,0,1
158,Nsrrtfv,0,1
159,srrtfsr,0,1
160,rtNsrrt,0,1
161,fvsrrts,0,1
162,uvNNsrr,0,1
163,tfvsrrt,0,1
164,fsrrtNs,0,1
165,rrtfvsr,0,1
166,rtsuvNN,0,1
167,srrtfvs,0,1
168,rrtfsrr,0,1
169,tNsrrtf,0,1
170,vsrrtsu,0,1
171,vNNsrrt,0,1
172,fvsrrtf,0,1
173,srrtNsr,0,1
174,rtfvsrr,0,1
175,tsuvNNs,0,1
176,rrtfvsr,0,1
177,rtfsrrt,0,1
178,Nsrrtfv,0,1
179,srrtsuv,0,1
180,NNsrrtf,0,1
181,vsrrtfs,0,1
182,rrtNsrr,0,1
183,tfvsrrt,0,1
