,data,label,id
0,dNDijEs,1,0
1,NilVxht,1,0
2,EEDVPBN,1,0
3,DijEsNi,1,0
4,lVxhtEE,1,0
5,EpooqNp,1,0
6,ooqdspo,1,0
7,oqCprpr,1,0
8,sNNpooq,1,0
9,dspooqd,1,0
10,BpooqNp,1,0
11,ooqdspo,1,0
12,oqDKCpr,1,0
13,sNNpooq,1,0
14,Npooqds,1,0
15,EEDVPBN,1,1
16,DijEsNi,1,1
17,lVxhtEE,1,1
18,EiVsDBE,1,1
19,ODVPBBJ,1,1
20,LDDPMBL,1,1
21,sNNQQGE,1,1
22,HIHDKsN,1,1
23,sDBEssV,1,1
24,VPDPg-L,1,1
25,EDVPBED,1,1
26,MBEODVP,1,1
27,BEDVPBE,1,1
28,NDijEsN,1,1
29,ijEsNil,1,1
30,oqdpooq,0,2
31,Npooqds,0,2
32,pooqprs,0,2
33,NNpooqd,0,2
34,spooqdp,0,2
35,ooqNpoo,0,2
36,qdspooq,0,2
37,prsNNpo,0,2
38,oqdspoo,0,2
39,qdpooqN,0,2
40,pooqdsp,0,2
41,ooqprsN,0,2
42,Npooqds,0,2
43,pooqdpo,0,2
44,oqNpooq,0,2
45,dspooqp,0,2
46,rsNNpoo,0,2
47,qdspooq,0,2
48,dpooqNp,0,2
49,ooqdspo,0,2
50,oqprsNN,0,2
51,pooqdsp,0,2
52,ooqdpoo,0,2
53,qNpooqd,0,2
54,spooqpr,0,2
55,sNNpooq,0,2
56,dspooqd,0,2
57,pooqNpo,0,2
58,oqdspoo,0,2
59,qprsNNp,0,2
60,ooqdspo,0,2
61,oqdpooq,0,2
62,Npooqds,0,2
63,pooqprs,0,2
64,NNpooqd,0,2
65,spooqdp,0,2
66,ooqNpoo,0,2
67,qdspooq,0,2
68,prsNNpo,0,2
69,oqdspoo,0,2
70,qdpooqN,0,2
71,pooqdsp,0,2
72,ooqprsN,0,2
73,Npooqds,0,2
74,pooqdpo,0,2
75,oqNpooq,0,2
76,dspooqp,0,2
77,rsNNpoo,0,2
78,qdspooq,0,2
79,dpooqNp,0,2
80,ooqdspo,0,2
81,oqprsNN,0,2
82,pooqdsp,0,2
83,ooqdpoo,0,2
84,qNpooqd,0,2
85,spooqpr,0,2
86,sNNpooq,0,2
87,dspooqd,0,2
88,pooqNpo,0,2
89,oqdspoo,0,2
90,qprsNNp,0,2
91,ooqdspo,0,2
92,oqdpooq,0,2
93,Npooqds,0,2
94,pooqprs,0,2
95,NNpooqd,0,2
96,spooqdp,0,2
97,ooqNpoo,0,2
98,qdspooq,0,2
99,prsNNpo,0,2
100,oqdspoo,0,2
101,qdpooqN,0,2
102,pooqdsp,0,2
103,ooqprsN,0,2
104,Npooqds,0,2
105,pooqdpo,0,2
106,oqNpooq,0,2
107,dspooqp,0,2
108,rsNNpoo,0,2
109,qdspooq,0,2
110,dpooqNp,0,2
111,ooqdspo,0,2
112,oqprsNN,0,2
113,pooqdsp,0,2
114,ooqdpoo,0,2
115,qNpooqd,0,2
116,spooqpr,0,2
117,sNNpooq,0,2
118,dspooqd,0,2
119,pooqNpo,0,2
120,oqdspoo,0,2
121,qprsNNp,0,2
122,ooqdspo,0,2
123,oqdpooq,0,2
124,Npooqds,0,2
125,pooqprs,0,2
126,NNpooqd,0,2
127,spooqdp,0,2
