,data,label,id
0,AEEEEEE,0,0
1,AEEEEEE,0,1
2,pooqdsp,0,2
3,ooqprsN,0,2
4,Npooqds,0,2
5,pooqdpo,0,2
6,oqNpooq,0,2
7,dspooqp,0,2
8,rsNNpoo,0,2
9,qdspooq,0,2
10,dpooqNp,0,2
11,ooqdspo,0,2
12,oqprsNN,0,2
13,pooqdsp,0,2
14,ooqdpoo,0,2
15,qNpooqd,0,2
16,spooqpr,0,2
17,sNNpooq,0,2
18,dspooqd,0,2
19,pooqNpo,0,2
20,oqdspoo,0,2
21,qprsNNp,0,2
22,ooqdspo,0,2
23,oqdpooq,0,2
24,Npooqds,0,2
25,pooqprs,0,2
26,NNpooqd,0,2
27,spooqdp,0,2
28,ooqNpoo,0,2
29,qdspooq,0,2
30,prsNNpo,0,2
31,oqdspoo,0,2
32,qdpooqN,0,2
33,pooqdsp,0,2
34,ooqprsN,0,2
35,Npooqds,0,2
36,pooqdpo,0,2
37,oqNpooq,0,2
38,dspooqp,0,2
39,rsNNpoo,0,2
40,qdspooq,0,2
41,dBpooqN,0,2
42,pooqdsp,0,2
43,ooqprsN,0,2
44,Npooqds,0,2
45,pooqdpo,0,2
46,oqNpooq,0,2
47,dspooqp,0,2
48,rsNNpoo,0,2
49,qdspooq,0,2
50,dpooqNp,0,2
51,ooqdspo,0,2
52,oqprsNN,0,2
53,pooqdsp,0,2
54,ooqdpoo,0,2
55,qNpooqd,0,2
56,spooqpr,0,2
57,sNNpooq,0,2
58,dspooqd,0,2
59,pooqNpo,0,2
60,oqdspoo,0,2
61,qprsNNp,0,2
62,ooqdspo,0,2
63,oqdpooq,0,2
64,Npooqds,0,2
65,pooqprs,0,2
66,NNpooqd,0,2
67,spooqdp,0,2
68,ooqNpoo,0,2
69,qdspooq,0,2
70,prsNNpo,0,2
71,oqdspoo,0,2
72,qdpooqN,0,2
73,pooqdsp,0,2
74,ooqprsN,0,2
75,Npooqds,0,2
76,pooqdpo,0,2
77,oqNpooq,0,2
78,dspooqp,0,2
79,rsNNpoo,0,2
80,qdspooq,0,2
81,dpooqNp,0,2
82,ooqdspo,0,2
83,oqprsNN,0,2
84,pooqdsp,0,2
85,ooqdpoo,0,2
86,qNpooqd,0,2
87,spooqpr,0,2
88,sNNpooq,0,2
89,dspooqd,0,2
90,pooqNpo,0,2
91,oqdspoo,0,2
92,qprsNNp,0,2
93,ooqdspo,0,2
94,oqdpooq,0,2
95,Npooqds,0,2
96,pooqprs,0,2
97,NNpooqd,0,2
98,spooqdp,0,2
99,ooqNpoo,0,2
100,qdspooq,0,2
101,prsNNpo,0,2
102,oqdspoo,0,2
103,qdpooqN,0,2
104,pooqdsp,0,2
105,ooqprsN,0,2
106,Npooqds,0,2
107,pooqdpo,0,2
108,oqNpooq,0,2
109,dspooqp,0,2
110,rsNNpoo,0,2
111,qdspooq,0,2
112,dpooqNp,0,2
113,ooqdspo,0,2
114,oqprsNN,0,2
115,pooqdsp,0,2
116,ooqdpoo,0,2
117,qNpooqd,0,2
118,spooqpr,0,2
119,sNNpooq,0,2
120,dspooqd,0,2
121,pooqNpo,0,2
122,oqdspoo,0,2
123,qprsNNp,0,2
124,ooqdspo,0,2
125,oqdpooq,0,2
126,Npooqds,0,2
127,pooqprs,0,2
128,NNpooqd,0,2
129,spooqdp,0,2
130,ooqNpoo,0,2
131,qdspooq,0,2
132,prsNNpo,0,2
133,oqdspoo,0,2
134,qdpooqN,0,2
135,pooqdsp,0,2
136,ooqprsN,0,2
137,Npooqds,0,2
138,pooqdpo,0,2
139,oqNpooq,0,2
140,dspooqp,0,2
141,rsNNpoo,0,2
142,qdspooq,0,2
143,dpooqNp,0,2
144,pooqdsp,0,2
145,ooqprsN,0,3
146,Npooqds,0,3
147,pooqdpo,0,3
148,oqNpooq,0,3
149,dspooqp,0,3
150,rsNNpoo,0,3
151,qdspooq,0,3
152,dpooqNp,0,3
153,ooqdspo,0,3
154,oqprsNN,0,3
155,pooqdsp,0,3
156,ooqdpoo,0,3
157,qNpooqd,0,3
158,spooqpr,0,3
159,sNNpooq,0,3
160,dspooqd,0,3
161,pooqNpo,0,3
162,oqdspoo,0,3
163,qprsNNp,0,3
164,ooqdspo,0,3
165,oqdpooq,0,3
166,Npooqds,0,3
167,pooqprs,0,3
168,NNpooqd,0,3
169,spooqdp,0,3
170,ooqNpoo,0,3
171,qdspooq,0,3
172,prsNNpo,0,3
173,oqdspoo,0,3
174,qdpooqN,0,3
175,pooqdsp,0,3
176,ooqprsN,0,3
177,Npooqds,0,3
178,pooqdpo,0,3
179,oqNpooq,0,3
180,dspooqp,0,3
181,rsNNpoo,0,3
182,qdspooq,0,3
183,dpooqNp,0,3
184,ooqdspo,0,3
185,oqprsNN,0,3
186,pooqdsp,0,3
187,ooqdpoo,0,3
188,qNpooqd,0,3
189,spooqpr,0,3
190,sNNpooq,0,3
191,dspooqd,0,3
192,pooqNpo,0,3
193,oqdspoo,0,3
194,qprsNNp,0,3
195,ooqdspo,0,3
196,oqdpooq,0,3
197,Npooqds,0,3
198,pooqprs,0,3
199,NNpooqd,0,3
200,spooqdp,0,3
201,ooqNpoo,0,3
202,qdspooq,0,3
203,prsNNpo,0,3
204,oqdspoo,0,3
205,qdpooqN,0,3
206,pooqdsp,0,3
207,ooqprsN,0,3
208,Npooqds,0,3
209,pooqdpo,0,3
210,oqNpooq,0,3
211,dspooqp,0,3
212,rsNNpoo,0,3
213,qdspooq,0,3
214,dpooqNp,0,3
215,ooqdspo,0,3
216,oqprsNN,0,3
217,pooqdsp,0,3
218,ooqdpoo,0,3
219,qNpooqd,0,3
220,spooqpr,0,3
221,sNNpooq,0,3
222,dspooqd,0,3
223,pooqNpo,0,3
224,oqdspoo,0,3
225,qprsNNp,0,3
226,ooqdspo,0,3
227,oqdpooq,0,3
228,Npooqds,0,3
229,pooqprs,0,3
230,NNpooqd,0,3
231,spooqdp,0,3
232,ooqNpoo,0,3
233,qdspooq,0,3
234,prsNNpo,0,3
235,oqdspoo,0,3
236,qdpooqN,0,3
237,pooqdsp,0,3
238,ooqprsN,0,3
239,Npooqds,0,3
240,pooqdpo,0,3
241,oqNpooq,0,3
242,dspooqp,0,3
243,rsNNpoo,0,3
244,qdspooq,0,3
245,dpooqNp,0,3
246,ooqdspo,0,3
247,oqprsNN,0,3
248,pooqdsp,0,3
249,ooqdpoo,0,3
250,qNpooqd,0,3
251,spooqpr,0,3
252,sNNpooq,0,3
253,dspooqd,0,3
254,pooqNpo,0,3
255,oqdspoo,0,3
256,qprsNNp,0,3
257,ooqdspo,0,3
258,oqdpooq,0,3
259,Npooqds,0,3
260,pooqprs,0,3
261,NNpooqd,0,3
262,spooqdp,0,3
263,ooqNpoo,0,3
264,qdspooq,0,3
265,prsNNpo,0,3
266,oqdspoo,0,3
267,qdpooqN,0,3
268,pooqdsp,0,3
269,ooqprsN,0,3
270,Npooqds,0,3
271,pooqdpo,0,3
272,oqNpooq,0,3
273,dspooqp,0,3
274,rsNNpoo,0,3
275,qdspooq,0,3
276,dpooqNp,0,3
277,ooqdspo,0,3
278,oqprsNN,0,3
279,pooqdsp,0,3
280,ooqdpoo,0,3
281,qNpooqd,0,3
282,spooqpr,0,3
283,sNNpooq,0,3
284,dspooqd,0,3
285,pooqNpo,0,3
286,oqdspoo,0,3
287,oqprsNN,0,3
288,ooqdpoo,0,4
289,qNpooqd,0,4
290,spooqpr,0,4
291,sNNpooq,0,4
292,dspooqd,0,4
293,pooqNpo,0,4
294,oqdspoo,0,4
295,qprsNNp,0,4
296,ooqdspo,0,4
297,oqdpooq,0,4
298,Npooqds,0,4
299,pooqprs,0,4
300,NNpooqd,0,4
301,spooqdp,0,4
302,ooqNpoo,0,4
303,qdspooq,0,4
304,prsNNpo,0,4
305,oqdspoo,0,4
306,qdpooqN,0,4
307,pooqdsp,0,4
308,ooqprsN,0,4
309,Npooqds,0,4
310,pooqdpo,0,4
311,oqNpooq,0,4
312,dspooqp,0,4
313,rsNNpoo,0,4
314,qdspooq,0,4
315,dpooqNp,0,4
316,ooqdspo,0,4
317,oqprsNN,0,4
318,pooqdsp,0,4
319,ooqdpoo,0,4
320,qNpooqd,0,4
321,spooqpr,0,4
322,sNNpooq,0,4
323,dspooqd,0,4
324,pooqNpo,0,4
325,oqdspoo,0,4
326,qprsNNp,0,4
327,ooqdspo,0,4
328,oqdpooq,0,4
329,Npooqds,0,4
330,pooqprs,0,4
331,NNpooqd,0,4
332,spooqdp,0,4
333,ooqNpoo,0,4
334,qdspooq,0,4
335,prsNNpo,0,4
336,oqdspoo,0,4
337,qdpooqN,0,4
338,pooqdsp,0,4
339,ooqprsN,0,4
340,Npooqds,0,4
341,pooqdpo,0,4
342,oqNpooq,0,4
343,dspooqp,0,4
344,rsNNpoo,0,4
345,qdspooq,0,4
346,dpooqNp,0,4
347,ooqdspo,0,4
348,oqprsNN,0,4
349,pooqdsp,0,4
350,ooqdpoo,0,4
351,qNpooqd,0,4
352,spooqpr,0,4
