,data,label,id,length
0,srrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtYYYsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrtsrrts,1,0,100
1,AEEEEEEE,0,1,8
2,tDKCsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtEvN-vN-DCsuvNNsrrtfvsrrtfsrrtNsrrt,1,2,100
3,AEEEEEE,0,3,7
4,rrtNsrrtfvsrrtWPsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtCEvN-vN-DCsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtCEECEDWPvN-N,1,4,100
5,srrtfWPBsrrtNsrrtfvsrrtWPsuMBNDlmEvNloW-kwEENDlmEvNloW-kwEECsusuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtvNvvvOD,1,5,100
6,rrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvN,0,6,1000
7,DBccD=cEOVDPcEDBccEDBccEEhEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEDa/DWPBEsrrtsrrtsrrtsrrtZN/gNDlmEvNlNoW-hkwEEDWPBNDlmEvNloW-kwEEElWvDBEODWPBBBXDWPBBEJLDDPLvNNQQGEHIHDKvNvDBEvvWWWPDPj;;LEDWPBEDMBEDWPBEOODWPBEMBNDlmEvNloW-kwEENDlmEvNloW-kwEEDWPBELDKWPBWPBCBCBCBCBCBCBCEljvN-vN-DDKWPCEIzAvDEEEEEE,0,7,316
8,NNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfBsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtf,0,8,1000
9,kwEENDlmEvNloW-kwEECsusuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtvNvvvODWPBBEOVCsusuvNNsrrtfvsrrtfsrrtNsrrtfvsrr,1,9,100
10,tNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfvsrrtsuvNNsrrtfvsrrtfsrrtNsrrtfv,0,10,1000
