,data,label,id
0,Nsrrtfv,0,0
1,srrtfsr,0,0
2,rtNsrrt,0,0
3,fvsrrts,0,0
4,uvNNsrr,0,0
5,tfvsrrt,0,0
6,fsrrtNs,0,0
7,rrtfvsr,0,0
8,rtsuvNN,0,0
9,srrtfvs,0,0
10,rrtfsrr,0,0
11,tNsrrtf,0,0
12,vsrrtsu,0,0
13,vNNsrrt,0,0
14,fvsrrtf,0,0
15,srrtNsr,0,0
16,rtfvsrr,0,0
17,tsuvNNs,0,0
18,rrtfvsr,0,0
19,rtfsrrt,0,0
20,Nsrrtfv,0,0
21,srrtsuv,0,0
22,NNsrrtf,0,0
23,vsrrtfs,0,0
24,rrtNsrr,0,0
25,tfvsrrt,0,0
26,suvNNsr,0,0
27,rtfvsrr,0,0
28,tfsrrtN,0,0
29,srrtfvs,0,0
30,rrtsuvN,0,0
31,Nsrrtfv,0,0
32,srrtfsr,0,0
33,rtNsrrt,0,0
34,fvsrrts,0,0
35,uvNNsrr,0,0
36,tfvsrrt,0,0
37,fsrrtNs,0,0
38,rrtfvsr,0,0
39,rtsuvNN,0,0
40,srrtfvs,0,0
41,rrtfsrr,0,0
42,tNsrrtf,0,0
43,vsrrtsu,0,0
44,vNNsrrt,0,0
45,fvsrrtf,0,0
46,srrtNsr,0,0
47,rtfvsrr,0,0
48,tsuvNNs,0,0
49,rrtfvsr,0,0
50,rtfsrrt,0,0
51,Nsrrtfv,0,0
52,srrtsuv,0,0
53,NNsrrtf,0,0
54,vsrrtfs,0,0
55,rrtNsrr,0,0
56,tfvsrrt,0,0
57,suvNNsr,0,0
58,rtfvsrr,0,0
59,tfsrrtN,0,0
60,srrtfvs,0,0
61,rrtsuvN,0,0
62,Nsrrtfv,0,0
63,srrtfsr,0,0
64,rtNsrrt,0,0
65,fvsrrts,0,0
66,uvNNsrr,0,0
67,tfvsrrt,0,0
68,fsrrtNs,0,0
69,rrtfvsr,0,0
70,rtsuvNN,0,0
71,srrtfvs,0,0
72,rrtfsrr,0,0
73,tNsrrtf,0,0
74,vsrrtsu,0,0
75,vNNsrrt,0,0
76,fvsrrtf,0,0
77,srrtNsr,0,0
78,rtfvsrr,0,0
79,tsuvNNs,0,0
80,rrtfvsr,0,0
81,rtfsrrt,0,0
82,Nsrrtfv,0,0
83,srrtsuv,0,0
84,NNsrrtf,0,0
85,vsrrtfs,0,0
86,rrtNsrr,0,0
87,tfvsrrt,0,0
88,suvNNsr,0,0
89,rtfvsrr,0,0
90,tfsrrtN,0,0
91,srrtfvs,0,0
92,rrtsuvN,0,0
93,Nsrrtfv,0,0
94,srrtfsr,0,0
95,rtNsrrt,0,0
96,fvsrrts,0,0
97,uvNNsrr,0,0
98,tfvsrrt,0,0
99,fsrrtNs,0,0
100,rrtfvsr,0,0
101,rtsuvNN,0,0
102,srrtfvs,0,0
103,rrtfsrr,0,0
104,tNsrrtf,0,0
105,vsrrtsu,0,0
106,vNNsrrt,0,0
107,fvsrrtf,0,0
108,srrtNsr,0,0
109,rtfvsrr,0,0
110,tsuvNNs,0,0
111,rrtfvsr,0,0
112,rtfsrrt,0,0
113,Nsrrtfv,0,0
114,srrtsuv,0,0
115,NNsrrtf,0,0
116,vsrrtfB,0,0
117,srrtNsr,0,0
118,rtfvsrr,0,0
119,tsuvNNs,0,0
120,rrtfvsr,0,0
121,rtfsrrt,0,0
122,Nsrrtfv,0,0
123,srrtsuv,0,0
124,NNsrrtf,0,0
125,vsrrtfs,0,0
126,rrtNsrr,0,0
127,tfvsrrt,0,0
128,suvNNsr,0,0
