,data,label,id
0,DBccD=c,0,0
1,EOVDPcE,0,0
2,DBccEDB,0,0
3,ccEEhEE,0,0
4,EEEEEEE,0,0
5,EEEEEEE,0,0
6,EEEEEEE,0,0
7,EEEEEEE,0,0
8,EEEEEEE,0,0
9,EEEEEEE,0,0
10,EEEEEEE,0,0
11,EEEEEEE,0,0
12,EEEDa/D,0,0
13,WPBEsrr,0,0
14,tsrrtsr,0,0
15,rtsrrtZ,0,0
16,N/gNDlm,0,0
17,EvNlNoW,0,0
18,-hkwEED,0,0
19,WPBNDlm,0,0
20,EvNloW-,0,0
21,kwEEElW,0,0
22,vDBEODW,0,0
23,PBBBXDW,0,0
24,PBBEJLD,0,0
25,DPLvNNQ,0,0
26,QGEHIHD,0,0
27,KvNvDBE,0,0
28,vvWWWPD,0,0
29,Pj;;LED,0,0
30,WPBEDMB,0,0
31,EDWPBEO,0,0
32,ODWPBEM,0,0
33,BNDlmEv,0,0
34,NloW-kw,0,0
35,EENDlmE,0,0
36,vNloW-k,0,0
37,wEEDWPB,0,0
38,ELDKWPB,0,0
39,WPBCBCB,0,0
40,CBCBCBC,0,0
41,BCEljvN,0,0
42,-vN-DDK,0,0
43,WPCEIzA,0,0
44,vDEEEEE,0,0
45,DEEEEEE,0,0
46,AEEEEEE,0,1
47,rrtfvsr,0,2
48,rtfsrrt,0,2
49,Nsrrtfv,0,2
50,srrtsuv,0,2
51,NNsrrtf,0,2
52,vsrrtfs,0,2
53,rrtNsrr,0,2
54,tfvsrrt,0,2
55,suvNNsr,0,2
56,rtfvsrr,0,2
57,tfsrrtN,0,2
58,srrtfvs,0,2
59,rrtsuvN,0,2
60,Nsrrtfv,0,2
61,srrtfsr,0,2
62,rtNsrrt,0,2
63,fvsrrts,0,2
64,uvNNsrr,0,2
65,tfvsrrt,0,2
66,fsrrtNs,0,2
67,rrtfvsr,0,2
68,rtsuvNN,0,2
69,srrtfvs,0,2
70,rrtfsrr,0,2
71,tNsrrtf,0,2
72,vsrrtsu,0,2
73,vNNsrrt,0,2
74,fvsrrtf,0,2
75,srrtNsr,0,2
76,rtfvsrr,0,2
77,tsuvNNs,0,2
78,rrtfvsr,0,2
79,rtfsrrt,0,2
80,Nsrrtfv,0,2
81,srrtsuv,0,2
82,NNsrrtf,0,2
83,vsrrtfs,0,2
84,rrtNsrr,0,2
85,tfvsrrt,0,2
86,suvNNsr,0,2
87,rtfvsrr,0,2
88,tfsrrtN,0,2
89,srrtfvs,0,2
90,rrtsuvN,0,2
91,Nsrrtfv,0,2
92,srrtfsr,0,2
93,rtNsrrt,0,2
94,fvsrrts,0,2
95,uvNNsrr,0,2
96,tfvsrrt,0,2
97,fsrrtNs,0,2
98,rrtfvsr,0,2
99,rtsuvNN,0,2
100,srrtfvs,0,2
101,rrtfsrr,0,2
102,tNsrrtf,0,2
103,vsrrtsu,0,2
104,vNNsrrt,0,2
105,fvsrrtf,0,2
106,srrtNsr,0,2
107,rtfvsrr,0,2
108,tsuvNNs,0,2
109,rrtfvsr,0,2
110,rtfsrrt,0,2
111,Nsrrtfv,0,2
112,srrtsuv,0,2
113,NNsrrtf,0,2
114,vsrrtfs,0,2
115,rrtNsrr,0,2
116,tfvsrrt,0,2
117,suvNNsr,0,2
118,rtfvsrr,0,2
119,tfsrrtN,0,2
120,srrtfvs,0,2
121,rrtsuvN,0,2
122,Nsrrtfv,0,2
123,srrtfsr,0,2
124,rtNsrrt,0,2
125,fvsrrts,0,2
126,uvNNsrr,0,2
127,tfvsrrt,0,2
128,fsrrtNs,0,2
129,rrtfvsr,0,2
130,rtsuvNN,0,2
131,srrtfvs,0,2
132,rrtfsrr,0,2
133,tNsrrtf,0,2
134,vsrrtsu,0,2
135,vNNsrrt,0,2
136,fvsrrtf,0,2
137,srrtNsr,0,2
138,rtfvsrr,0,2
139,tsuvNNs,0,2
140,rrtfvsr,0,2
141,rtfsrrt,0,2
142,Nsrrtfv,0,2
143,srrtsuv,0,2
144,NNsrrtf,0,2
145,vsrrtfs,0,2
146,rrtNsrr,0,2
147,tfvsrrt,0,2
148,suvNNsr,0,2
149,rtfvsrr,0,2
150,tfsrrtN,0,2
151,srrtfvs,0,2
152,rrtsuvN,0,2
153,Nsrrtfv,0,2
154,srrtfsr,0,2
155,rtNsrrt,0,2
156,fvsrrts,0,2
157,uvNNsrr,0,2
158,tfvsrrt,0,2
159,fsrrtNs,0,2
160,rrtfvsr,0,2
161,rtsuvNN,0,2
162,srrtfvs,0,2
163,rrtfsrr,0,2
164,tNsrrtf,0,2
165,vsrrtsu,0,2
166,vNNsrrt,0,2
167,fvsrrtf,0,2
168,srrtNsr,0,2
169,rtfvsrr,0,2
170,tsuvNNs,0,2
171,rrtfvsr,0,2
172,rtfsrrt,0,2
